id	language_name	language_latitude	language_longitude	language_macroarea	language_family	GB020_ARTDef	GB021_ARTIndef	GB022_ARTPre	GB023_ARTPost	GB026_ADJDiscont	GB027_ComitConjDifferent	GB028_Clusivity	GB030_PRO3PGender	GB031_PRODualAug	GB035_DEMDistContrast	GB036_DEMElevation	GB037_DEMVisNonvis	GB038_DEMClassifier	GB039_NounNUMAllomorph	GB041_NUMSupplNoun	GB042_SingularNoun	GB043_DualBound	GB044_PluralBound	GB046_AssocPlural	GB047_NMZActionState	GB048_NMZAgent	GB049_NMZObject	GB051_GenderSex	GB052_GenderShape	GB053_GenderAnimacy	GB054_GenderPlants	GB057_NUMClassif	GB058_POSSClassifier	GB059_POSSAlienability	GB068_PredAdjLikeV	GB069_AttrAdjLikeV	GB070_CoreCaseNoun	GB071_CoreCasePRO	GB072_ObliqueCaseNoun	GB073_ObliqueCasePRO	GB074_Prepositions	GB075_Postpositions	GB079_VPrefixing	GB080_VSuffixing	GB081_VInfix	GB082_PresentBoundV	GB083_PastBoundV	GB084_FutureBoundV	GB086_AspectBoundV	GB089_S-ArgSfxV	GB090_S-ArgPfxV	GB091_A-ArgSfxV	GB092_A-ArgPfxV	GB093_P-ArgSfxV	GB094_P-ArgPfxV	GB095_CaseSplitTAM	GB096_CaseSplitVerbClass	GB098_CaseSplitPerson	GB099_VSupplPerson	GB103_BenefApplBoundV	GB104_AppInstrBoundV	GB105_CaseRecipientObj	GB107_NEGBoundV	GB108_DirLocBoundV	GB109_VSupplNUM	GB110_VSupplTA	GB111_VerbClass	GB113_TransitivizingBound	GB114_ReflBoundV	GB115_RecipBoundV	GB116_VClassifiers	GB117_CopulaPredNom	GB118_SerialV	GB119_MoodAUX	GB120_AspectAUX	GB121_AUXTense	GB122_VCompounding	GB123_LightVerb	GB124_NounIncorpIntrans	GB126_ExistentialV	GB127_PostureVerbs	GB129_FewVerbs	GB131_TransVInitOrder	GB132_TransVMedOrder	GB133_TransVFinalOrder	GB134_MainSubSameOrder	GB135_SUBClauseInOPosition	GB136_WordOrderFixed	GB137_NEGFinal	GB138_NEGInitial	GB139_NEGProhibitive	GB140_SameNEGLocExistNom	GB146_VControl	GB147_PassiveBoundV	GB148_AntipassiveBoundV	GB149_InverseBoundV	GB150_ClauseChain	GB151_SwitchReference	GB152_SimulSeqBound	GB155_CAUSBound	GB156_CAUSSay	GB158_RedupV	GB159_RedupNoun	GB160_RedupOther	GB165_TrialBound	GB166_PaucalBound	GB167_PROLogophore	GB170_ADJGender	GB171_DEMGender	GB172_ARTGender	GB177_AnimacyBoundV	GB184_AdjNUM	GB185_DEMNum	GB186_ARTNum	GB187_DIMBound	GB188_AUGBound	GB192_GenderPhono	GB196_PRO2PMascFem	GB197_PRO1PMascFem	GB198_NUMGender	GB204_QUANTUniversal	GB250_PredPOSSHabeo	GB252_PredPOSSLoc	GB253_PredPOSSDat	GB254_PredPOSSAdnom	GB256_PredPOSSComitative	GB257_QIntonation	GB260_QWordOrder	GB262_QPartInitial	GB263_QPartFinal	GB264_QPartMedial	GB265_COMPARExceed	GB266_COMPARLoc	GB270_COMPARConjoin	GB273_COMPAROtherMarker	GB275_COMPDegreeBound	GB276_COMPDegreeFree	GB285_QPartVMorph	GB286_QVMorph	GB291_QTone	GB296_Ideophones	GB297_QVNotV	GB298_NEGAux	GB299_NEGPart	GB300_VSupplGive	GB301_Inclusory	GB302_PassiveFree	GB303_AntipassiveFree	GB304_PassiveA-ArgOvert	GB305_PRORefl	GB306_PROReciproc	GB309_MultiplePastFuture	GB312_MoodBoundV	GB313_PROPoss	GB314_AUGgender	GB315_DIMGender	GB316_SingularFree	GB317_DualFree	GB318_PluralFree	GB319_TrialFree	GB320_PaucalFree	GB321_GenderUnpredict	GB322_EvidSense	GB323_EvidIndirect	GB324_QV	GB325_QCountMass	GB326_QInSitu	GB327_RELPost	GB328_RELPre	GB329_RELInternalHead	GB330_RELCorr	GB331_RELAdjoined	GB333_NUMDecimal	GB334_NUMQuinary	GB335_NUMVigesimal	GB336_NUMBodyTally	GB400_PersonNeutralized	GB401_PatientLabile	GB402_VSupplSee	GB403_VSupplCome	GB408_Accusative	GB409_Ergative	GB410_NeutralAlign	GB415_PRO2PPoliteness	GB421_ComplThinkKnowPre	GB422_ComplThinkKnowPost	GB430_POSSPfxPosr	GB431_POSSPfxPosd	GB432_POSSSfxPosr	GB433_POSSSfxPosd	GB519_MoodAuxPart	GB520_AspectAuxPart	GB521_TenseAuxPart	GB522_PRODrop	GB024_NUMOrder_1	GB024_NUMOrder_2	GB024_NUMOrder_3	GB025_DEMOrder_1	GB025_DEMOrder_2	GB025_DEMOrder_3	GB065_POSSPosdPosrOrder_1	GB065_POSSPosdPosrOrder_2	GB065_POSSPosdPosrOrder_3	GB130_OrderSVIntrans_1	GB130_OrderSVIntrans_2	GB130_OrderSVIntrans_3	GB193_OrderADJ_0	GB193_OrderADJ_1	GB193_OrderADJ_2	GB193_OrderADJ_3	GB203_QUANTOrder_0	GB203_QUANTOrder_1	GB203_QUANTOrder_2	GB203_QUANTOrder_3
mbul1263	Mbula	-5.66965	148.041	Papunesia	Austronesian	True	False	False	True	False	True	True	False	True	True	False	True	False	False		False	False	False		True	False	False	False	False	False	False	False	True	True	True	True	False	True	False	True	True	False	True	True	False	False	False	False	True	False	True	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	True	False	False	True	False	True	False	False		False	True	False	False	False	True	False	True	True	True	True	False	True		True	True	False	False	False	False	False	True	False	True	True	True	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False			True				True	False	False	False	False	True	False	True	False	False	False	False	False	False		False	False	True	False	True	False	False		True	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	True	False	False	False	False	False	True	True	False	False	True	False	True	True	False	True		True	False	False	False	False	True	True	False	False	True	False	True	False	False	True	False	False	False	True	True	False	False	False	False	True	False	False	False	True	False
mbya1239	Mbyá Guaraní	-26.0188	-52.711	South America	Tupian	False	False	False	False	False		True	False	False	True	False	False	False	False	False	False	False	True	False	True	True	True	False	False	False	False	False	False	True	True	False	False	False	False	True	False	True	True	True	False	False	False	True		False	True	False	True	False	True	False	True	True	False		False	True	True	False	False	False	True	True	True	True	False	False							False	True		False		True	True	True	True		True	True	True	False			False	True	False	False		True	False	True		True	False	False		False	False	False	False	True		False	True		False	False	False	False	True	False	False	False	True	False	False	False	False	False	True							False	False	False		False	False	False	False	False		False		False	False		True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	True	False	False	False	False	False		False	False	True	False	True	False	False	False	False	True	False	False				True	True	False	False	True	False	False	True	False	False	False	False	True	False	False	True	False				
meen1242	Me'en	6.63207	35.6255	Africa	Surmic	False	False	False	False	False		True	False	False	True	False	False	False	False			False	True					False	False	False	False	False	False	False	False		False	False	True		False	True	False	True	False	False	True	False	True	True	True	True	True	True	False	True	False	True	False	True	False	False	True	False	False	True	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True		True	True	False	True		False	True	False	False	False	False		True		False	False	False	False	False	False	False	False	False	False	True	True	False			False	False	False	False					True		True	False	False	True	False	False	False	False	True	False	False	False	False	False		False	False	False		False	False	False	False		False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	True	False	False			True	False	False	True	False			False	False	True	True	False	False	False	True	False	True	False	False	True	False	False	True	False	True	False	False	False	False	True	False				
mehe1243	Mehek	-3.70927	142.498	Papunesia	Sepik	True	True	True	True	False	False	False	True	True	True			False	False	False	False	False	False	False				True	False	False	False	False	False		False	False	False	True	True	False		True	True	True		True	True	True		True	False	True	False	False	False	False	False	False				False	False	False	False	False	False	False	False		False	True	True	False	False	False	True	True			True	False	False	False	True	True	True	False	True	True	True	True		False	False	False	True		True			False	False	False	False	False	False	True	True	True		True	True	False	False	False	False	False	False	False		False					False	False	False	True	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	True	False	False	False	True		True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	False	False					True	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	True	False	True	False	False	False	True	True	False	False	False	False	True	False	False	False	True	False
mehi1240	Mehináku	-12.5364	-53.521	South America	Arawakan																							True						True																																																False																																																																																																																							True	False	False											
meke1243	Mekeo	-8.23853	146.586	Papunesia	Austronesian	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	True	True	False	False	True	False	False	True	True	False	True	False	False	True	True	True	True	True	True	True	False	False	False	False	False	True	False	True	True	False	False	False	False	True	False	True	False	True	True	False	True	False	True	True	False	True	False	False	False	False	True	True	True	False	True	True	True	False	False	True	False	False	False	False	False	True	False	True	True	True	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	True	False	True	True	True	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	True	True	False	False	False	False	False	False			False	False	False	False	False	False	False	True	False	True	False	True	False	True	False	True	False	False	True	False	False	True	False	False	False	False	True	False				
mele1247	Mele Nadu Irula	12.70645	79.95209	Eurasia	Dravidian	False	False	False	False		False	True	True	False				False	True	False	False	False	True					True	False	True	False	False	False	False			True	True	True	True	False	True	False	True	False	True	True	False		True	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	True	False	False	False			False	False	False			False	False		False	False	False	True		True		True	False		False		False	False	False				True	False				False	False	False			False	False			False	False	False	False	False	False	False		False		True	False	False	False	False	False	False	False							False	True	False	False	False	False	False		False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False							True	False		False	True	False			True	False	True	False			False	False	True	False	False	False	False		True	False	False				True	False	False	True	False	False								
mele1250	Mele-Fila	-17.6841	168.275	Papunesia	Austronesian	True		True	False			True	False	True	True	False	False				False	False	False	False								False	False	True	False	False	False	False	False	True	True		True	True		False	True		False	False	True	False					False	False					True	True	False			True	True	True			True	False	False	False	True		False	True			False	True	False	True		True	True			False								True		True	True	False	False	False		False	False	False	False		False	True				False	False								False	False		True		True	True			False	False	False	False	False			False	True						False	False	False	True				False	False	False	False	False				False	False	True	True	False	False			True	False	False		False				False	False	True	False			False	True	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	True	False	False	False	False	True	False				
melo1242	Melo	6.53916	36.811	Africa	Ta-Ne-Omotic	True	False	False	True	False		False	True	False	False	True	False	False	False	False	False	False	True		True	True	True	True	False	False	False	False	False	False	False	False	True	True	True	True	False		False	True	False			True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False		False	False	False	False		False	True	True	False		False		False	False	False	False	True				True	False	True	True		True	False	False		False	False	True	False	True		False	False	False		True	True	False	False	True	True	False	True	True	False	False	False	False		False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False			False		False	False	True		True		True	False	False	False	False	False	False	False	False	False	False	False	False		True						True	True	False	False	False		False	False	True	False	True	False			True	False	False	False	False	False	False		False	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	False	True
melp1238	Melpa	-5.62644	144.34	Papunesia	Nuclear Trans New Guinea			False	True	False		False	False	True	True	False	False	False	False	False	False	False	False		True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True	False	True	False	False	False	False	True	True	False	True	False	False	False	False	False	False	False	True	False	True	True	False	False	False	True	True			False	False		False	False	False	False	True	False	True	False	False	False	False	True	True		False	False	False	False	False	False	False	False	False	True	True	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False							True	False	False	True	False					False		False	False	False	False		False	False	False		False	False	False			True	True	False	False	False	False	False	False	False	False	False	False	False	False		True	True	False				False	False	False	False	False		False	False	False	True	True	False	False	False	False	False	True	False	False	False	False	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	True	False				
mend1266	Mende (Sierra Leone)	7.90935	-10.9926	Africa	Mande	True	False		True			False	False	False	False	False	False	False			True	False	True	True	True	True	True	False	False	False	False	False	False	True			False	False	False	False	True	True			False	False	True	True	True	False	False	False	False	False	False	False	False	False					False				True		False	False												False	False	False	True					True	True			False	False					False	False	True		True	False	False	False	False	False	False		False	True	False			False	False	False	False	False																																																																										True	False	False	False	True	False	True	False	False	True	False	False	False	False	True	False	False	False	True	False
mend1268	Mende (Papua New Guinea)	-3.67233	142.683	Papunesia	Sepik	False	True	False	True	False	True	False	True	True	False	False		False	False	False	False	False	False	False										False	False	False	False	False	False	False	False	True	False	True	False	True	True	True	False	False	True	False	True	False	False				False	False	False	True	False	True	False	False	False	False	False	False	False	False	True	False		False	True	False		False	True	False	False	False	True	True	True	False	True	False	True	False	False	False	False	False	True	True	True	False		True	False	True																																																																																											False	True	False	False	True	False	False	False	True	True	False	False								
meng1267	Mengen	-5.47036	151.373	Papunesia	Austronesian	False	False	False	False	False	True	True	False	True	True	False	False	False		False	False	False	True	True	True		True	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	False	False	False	False	False	True	False	True	False	True	True	False				False	False	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False	False	True	False	False	True	False	False	False	True	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	True	False	True	True	True																																																																																											False	True	False	False	True	False	False	False	True	True	False	False								
meny1245	Menya	-7.17425	146.071	Papunesia	Angan	True	False	False	True	False	False	False	True	True	True	True	False	False	False	False	False	False	True	False	True	True	False					False	False	True	False	False	True	True	True	True	False	True	True	True	False	True	True	False	True	True	False	True	False	False	True				False	True	False	True	True	False	False	False	False	True	True	False	False	False	True	False	False	False	True	True	False	True	True	False	False	False	True	True	True	True	True	False	True	True	True	False	False	False	True	True	False	True	True	False	False	False																																																																																											False	True	False	False	True	False	True	False	False	True	False	False								
mera1242	Meramera	-4.97468	151.528	Papunesia	Austronesian	False						True	False			False		False		False	False	False	False									False	False	True			False		True		True	False							False	False	True	False	True	True	False				False	False		True	False		False		False	True	False	True	False	False	True					False				False	False	True	False			True	False	False	True	False	False				False	False	False	True	False	True	True																																																																																																					True	False	False								
mere1242	Merei	-15.2839	166.905	Papunesia	Austronesian	True	True	True	False	False	True	True	False	True	True	True	True	False	True	False	False	False	True	False				False	False	False	False	False	True	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True	False	True	True	False	False	False	True	False	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False	True	False	False	True	True			False	False	False	False		False	False	False	True	False	True	False	False	True	False	True	False	False	False	False	False	False	False	False		False	False	True	False		False	False	False	True	True	False	True	True			True	True	True	False	False	False	False	False	False	False	True	True	False	False	True	False	True	True	False	False	False		False	False	True	False	True	False	False	False	False	False	False	True	True	True	False		False	True	False	False	True	False	False	False	True	True	False	False	False	True	False	False	False	False	True	False
